scenario_key,scenario,model,model_full,bin_index,bin_left,bin_right,ece_10bins,mean_predicted,observed_event_rate,n,events,positive_predictions,true_positives_at_0_5
mimic_to_eicu,(d) MIMIC -> eICU,RF,Random Forest,1,0.0,0.1,0.2114677744209466,0.08545454545454546,0.09090909090909091,11,1,0,0
mimic_to_eicu,(d) MIMIC -> eICU,RF,Random Forest,2,0.1,0.2,0.2114677744209466,0.1619093851132686,0.038834951456310676,206,8,0,0
mimic_to_eicu,(d) MIMIC -> eICU,RF,Random Forest,3,0.2,0.30000000000000004,0.2114677744209466,0.25061754385964913,0.07789473684210527,475,37,0,0
mimic_to_eicu,(d) MIMIC -> eICU,RF,Random Forest,4,0.30000000000000004,0.4,0.2114677744209466,0.34396707818930045,0.1037037037037037,405,42,0,0
mimic_to_eicu,(d) MIMIC -> eICU,RF,Random Forest,5,0.4,0.5,0.2114677744209466,0.44235815602836875,0.13297872340425532,188,25,0,0
mimic_to_eicu,(d) MIMIC -> eICU,RF,Random Forest,6,0.5,0.6000000000000001,0.2114677744209466,0.5315238095238095,0.11428571428571428,35,4,35,4
mimic_to_eicu,(d) MIMIC -> eICU,RF,Random Forest,7,0.6000000000000001,0.7000000000000001,0.2114677744209466,0.6133333333333333,0.0,4,0,4,0
eicu_internal_oof,(a) eICU internal OOF,GB,Gradient Boosting,1,0.0,0.1,0.036904346816257115,0.03363393761007163,0.05698529411764706,1088,62,0,0
eicu_internal_oof,(a) eICU internal OOF,GB,Gradient Boosting,2,0.1,0.2,0.036904346816257115,0.14053089823144405,0.16393442622950818,122,20,0,0
eicu_internal_oof,(a) eICU internal OOF,GB,Gradient Boosting,3,0.2,0.30000000000000004,0.036904346816257115,0.23606651451340557,0.34,50,17,0,0
eicu_internal_oof,(a) eICU internal OOF,GB,Gradient Boosting,4,0.30000000000000004,0.4,0.036904346816257115,0.3434116819244749,0.2857142857142857,21,6,0,0
eicu_internal_oof,(a) eICU internal OOF,GB,Gradient Boosting,5,0.4,0.5,0.036904346816257115,0.4531157631568295,0.35714285714285715,14,5,0,0
eicu_internal_oof,(a) eICU internal OOF,GB,Gradient Boosting,6,0.5,0.6000000000000001,0.036904346816257115,0.5388953069233061,0.14285714285714285,7,1,7,1
eicu_internal_oof,(a) eICU internal OOF,GB,Gradient Boosting,7,0.6000000000000001,0.7000000000000001,0.036904346816257115,0.6361622637321894,0.36363636363636365,11,4,11,4
eicu_internal_oof,(a) eICU internal OOF,GB,Gradient Boosting,8,0.7000000000000001,0.8,0.036904346816257115,0.7652456997733412,0.25,4,1,4,1
eicu_internal_oof,(a) eICU internal OOF,GB,Gradient Boosting,9,0.8,0.9,0.036904346816257115,0.8595533944526613,0.14285714285714285,7,1,7,1
eicu_to_mimic,(b) eICU -> MIMIC,GB,Gradient Boosting,1,0.0,0.1,0.2274993095538716,0.04113364716604633,0.2345679012345679,81,19,0,0
eicu_to_mimic,(b) eICU -> MIMIC,GB,Gradient Boosting,2,0.1,0.2,0.2274993095538716,0.13480996039450982,0.375,16,6,0,0
eicu_to_mimic,(b) eICU -> MIMIC,GB,Gradient Boosting,3,0.2,0.30000000000000004,0.2274993095538716,0.25769632001398024,0.7142857142857143,7,5,0,0
eicu_to_mimic,(b) eICU -> MIMIC,GB,Gradient Boosting,4,0.30000000000000004,0.4,0.2274993095538716,0.32677052394632533,0.5,2,1,0,0
eicu_to_mimic,(b) eICU -> MIMIC,GB,Gradient Boosting,5,0.4,0.5,0.2274993095538716,0.4206817671855761,0.0,1,0,0,0
eicu_to_mimic,(b) eICU -> MIMIC,GB,Gradient Boosting,6,0.5,0.6000000000000001,0.2274993095538716,0.5342789704996618,1.0,2,2,2,2
eicu_to_mimic,(b) eICU -> MIMIC,GB,Gradient Boosting,7,0.6000000000000001,0.7000000000000001,0.2274993095538716,0.6190002994920422,0.0,1,0,1,0
mimic_internal_oof,(c) MIMIC internal OOF,GB,Gradient Boosting,1,0.0,0.1,0.20222449205342571,0.030457590526961495,0.2222222222222222,54,12,0,0
mimic_internal_oof,(c) MIMIC internal OOF,GB,Gradient Boosting,2,0.1,0.2,0.20222449205342571,0.1489396900173755,0.5555555555555556,9,5,0,0
mimic_internal_oof,(c) MIMIC internal OOF,GB,Gradient Boosting,3,0.2,0.30000000000000004,0.20222449205342571,0.2421011547553723,0.2727272727272727,11,3,0,0
mimic_internal_oof,(c) MIMIC internal OOF,GB,Gradient Boosting,4,0.30000000000000004,0.4,0.20222449205342571,0.3460243180331454,0.4,10,4,0,0
mimic_internal_oof,(c) MIMIC internal OOF,GB,Gradient Boosting,5,0.4,0.5,0.20222449205342571,0.4311325148352031,0.3,10,3,0,0
mimic_internal_oof,(c) MIMIC internal OOF,GB,Gradient Boosting,6,0.5,0.6000000000000001,0.20222449205342571,0.5505475499851593,0.3333333333333333,3,1,3,1
mimic_internal_oof,(c) MIMIC internal OOF,GB,Gradient Boosting,7,0.6000000000000001,0.7000000000000001,0.20222449205342571,0.622954634161167,0.5,2,1,2,1
mimic_internal_oof,(c) MIMIC internal OOF,GB,Gradient Boosting,8,0.7000000000000001,0.8,0.20222449205342571,0.7689204287773804,0.3333333333333333,6,2,6,2
mimic_internal_oof,(c) MIMIC internal OOF,GB,Gradient Boosting,9,0.8,0.9,0.20222449205342571,0.8683772307990222,0.5,2,1,2,1
mimic_internal_oof,(c) MIMIC internal OOF,GB,Gradient Boosting,10,0.9,1.0,0.20222449205342571,0.9313543354125026,0.3333333333333333,3,1,3,1
mimic_to_eicu,(d) MIMIC -> eICU,GB,Gradient Boosting,1,0.0,0.1,0.20573922228398664,0.03841635201158407,0.06830122591943957,571,39,0,0
mimic_to_eicu,(d) MIMIC -> eICU,GB,Gradient Boosting,2,0.1,0.2,0.20573922228398664,0.14395736133113932,0.1065989847715736,197,21,0,0
mimic_to_eicu,(d) MIMIC -> eICU,GB,Gradient Boosting,3,0.2,0.30000000000000004,0.20573922228398664,0.24956060821206108,0.11320754716981132,106,12,0,0
mimic_to_eicu,(d) MIMIC -> eICU,GB,Gradient Boosting,4,0.30000000000000004,0.4,0.20573922228398664,0.3492167934546949,0.08695652173913043,92,8,0,0
mimic_to_eicu,(d) MIMIC -> eICU,GB,Gradient Boosting,5,0.4,0.5,0.20573922228398664,0.44973914350038036,0.0821917808219178,73,6,0,0
mimic_to_eicu,(d) MIMIC -> eICU,GB,Gradient Boosting,6,0.5,0.6000000000000001,0.20573922228398664,0.5536153665879618,0.07142857142857142,56,4,56,4
mimic_to_eicu,(d) MIMIC -> eICU,GB,Gradient Boosting,7,0.6000000000000001,0.7000000000000001,0.20573922228398664,0.6504490907428746,0.0625,64,4,64,4
mimic_to_eicu,(d) MIMIC -> eICU,GB,Gradient Boosting,8,0.7000000000000001,0.8,0.20573922228398664,0.7573609420312848,0.09090909090909091,55,5,55,5
mimic_to_eicu,(d) MIMIC -> eICU,GB,Gradient Boosting,9,0.8,0.9,0.20573922228398664,0.8447555914093469,0.21568627450980393,51,11,51,11
mimic_to_eicu,(d) MIMIC -> eICU,GB,Gradient Boosting,10,0.9,1.0,0.20573922228398664,0.9524398451944582,0.11864406779661017,59,7,59,7
